--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 13:59:45 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.0703125}
{'name': 'Registry', 'username': None, 'pid': 176, 'vms': 13.328125}
{'name': 'svchost.exe', 'username': None, 'pid': 516, 'vms': 3.30078125}
{'name': 'smss.exe', 'username': None, 'pid': 708, 'vms': 1.09765625}
{'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 716, 'vms': 1.328125}
{'name': 'csrss.exe', 'username': None, 'pid': 820, 'vms': 2.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 860, 'vms': 6.30078125}
{'name': 'wininit.exe', 'username': None, 'pid': 1104, 'vms': 1.4609375}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1112, 'vms': 20.76953125}
{'name': 'csrss.exe', 'username': None, 'pid': 1124, 'vms': 2.80859375}
{'name': 'services.exe', 'username': None, 'pid': 1172, 'vms': 6.21484375}
{'name': 'lsass.exe', 'username': None, 'pid': 1196, 'vms': 9.01953125}
{'name': 'svchost.exe', 'username': None, 'pid': 1212, 'vms': 5.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 1324, 'vms': 11.20703125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1340, 'vms': 1.86328125}
{'name': 'svchost.exe', 'username': None, 'pid': 1412, 'vms': 8.1953125}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1436, 'vms': 5.24609375}
{'name': 'SystemSettings.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1460, 'vms': 96.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1500, 'vms': 2.7890625}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1536, 'vms': 9.63671875}
{'name': 'winlogon.exe', 'username': None, 'pid': 1624, 'vms': 2.3828125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1656, 'vms': 2.140625}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1676, 'vms': 2.609375}
{'name': 'dwm.exe', 'username': None, 'pid': 1752, 'vms': 174.1484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1836, 'vms': 5.96875}
{'name': 'svchost.exe', 'username': None, 'pid': 1852, 'vms': 2.22265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1868, 'vms': 2.85546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1888, 'vms': 3.3984375}
{'name': 'svchost.exe', 'username': None, 'pid': 1972, 'vms': 2.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 1996, 'vms': 2.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 2000, 'vms': 2.5078125}
{'name': 'svchost.exe', 'username': None, 'pid': 2056, 'vms': 2.25}
{'name': 'svchost.exe', 'username': None, 'pid': 2152, 'vms': 3.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2188, 'vms': 1.58984375}
{'name': 'powershell.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2236, 'vms': 51.02734375}
{'name': 'svchost.exe', 'username': None, 'pid': 2284, 'vms': 2.77734375}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 2300, 'vms': 1.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 2308, 'vms': 2.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 2320, 'vms': 2.6328125}
{'name': 'svchost.exe', 'username': None, 'pid': 2388, 'vms': 1.37890625}
{'name': 'svchost.exe', 'username': None, 'pid': 2432, 'vms': 1.85546875}
{'name': 'svchost.exe', 'username': None, 'pid': 2652, 'vms': 3.125}
{'name': 'svchost.exe', 'username': None, 'pid': 2708, 'vms': 1.81640625}
{'name': 'svchost.exe', 'username': None, 'pid': 2740, 'vms': 1.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 2808, 'vms': 7.8125}
{'name': 'svchost.exe', 'username': None, 'pid': 2840, 'vms': 1.79296875}
{'name': 'mcafee-security-ft.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2932, 'vms': 2.91796875}
{'name': 'igfxCUIServiceN.exe', 'username': None, 'pid': 2960, 'vms': 2.1796875}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3044, 'vms': 200.07421875}
{'name': 'svchost.exe', 'username': None, 'pid': 3144, 'vms': 1.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 3184, 'vms': 14.84765625}
{'name': 'svchost.exe', 'username': None, 'pid': 3360, 'vms': 7.56640625}
{'name': 'svchost.exe', 'username': None, 'pid': 3368, 'vms': 1.2890625}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 3528, 'vms': 7.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 3560, 'vms': 16.70703125}
{'name': 'svchost.exe', 'username': None, 'pid': 3588, 'vms': 2.78125}
{'name': 'svchost.exe', 'username': None, 'pid': 3596, 'vms': 1.20703125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3620, 'vms': 116.59375}
{'name': 'svchost.exe', 'username': None, 'pid': 3652, 'vms': 2.58203125}
{'name': 'svchost.exe', 'username': None, 'pid': 3660, 'vms': 1.8828125}
{'name': 'MemCompression', 'username': None, 'pid': 3668, 'vms': 1.30859375}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3852, 'vms': 232.01953125}
{'name': 'nvcontainer.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3912, 'vms': 9.0546875}
{'name': 'svchost.exe', 'username': None, 'pid': 3960, 'vms': 4.49609375}
{'name': 'svchost.exe', 'username': None, 'pid': 4000, 'vms': 1.4296875}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 4080, 'vms': 58.8359375}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 4124, 'vms': 50.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 4176, 'vms': 16.92578125}
