--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:53:53 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'Registry', 'pid': 176, 'username': None, 'vms': 18.71484375}
{'name': 'svchost.exe', 'pid': 516, 'username': None, 'vms': 3.36328125}
{'name': 'smss.exe', 'pid': 708, 'username': None, 'vms': 1.09765625}
{'name': 'csrss.exe', 'pid': 820, 'username': None, 'vms': 2.65234375}
{'name': 'svchost.exe', 'pid': 860, 'username': None, 'vms': 6.6484375}
{'name': 'wininit.exe', 'pid': 1104, 'username': None, 'vms': 1.53125}
{'name': 'services.exe', 'pid': 1172, 'username': None, 'vms': 6.984375}
{'name': 'Code.exe', 'pid': 1184, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 46.203125}
{'name': 'lsass.exe', 'pid': 1196, 'username': None, 'vms': 8.97265625}
{'name': 'svchost.exe', 'pid': 1212, 'username': None, 'vms': 6.1953125}
{'name': 'svchost.exe', 'pid': 1324, 'username': None, 'vms': 12.96484375}
{'name': 'fontdrvhost.exe', 'pid': 1340, 'username': None, 'vms': 1.9140625}
{'name': 'svchost.exe', 'pid': 1412, 'username': None, 'vms': 8.5390625}
{'name': 'WUDFHost.exe', 'pid': 1436, 'username': None, 'vms': 5.2265625}
{'name': 'svchost.exe', 'pid': 1500, 'username': None, 'vms': 2.921875}
{'name': 'WUDFHost.exe', 'pid': 1536, 'username': None, 'vms': 11.0859375}
{'name': 'dptf_helper.exe', 'pid': 1744, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.42578125}
{'name': 'LockApp.exe', 'pid': 1784, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 40.75}
{'name': 'svchost.exe', 'pid': 1836, 'username': None, 'vms': 6.23046875}
{'name': 'svchost.exe', 'pid': 1852, 'username': None, 'vms': 2.31640625}
{'name': 'svchost.exe', 'pid': 1868, 'username': None, 'vms': 2.8984375}
{'name': 'svchost.exe', 'pid': 1888, 'username': None, 'vms': 3.3984375}
{'name': 'winlogon.exe', 'pid': 1908, 'username': None, 'vms': 2.52734375}
{'name': 'svchost.exe', 'pid': 1972, 'username': None, 'vms': 2.796875}
{'name': 'svchost.exe', 'pid': 1996, 'username': None, 'vms': 2.30859375}
{'name': 'svchost.exe', 'pid': 2000, 'username': None, 'vms': 2.828125}
{'name': 'Code.exe', 'pid': 2036, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.421875}
{'name': 'svchost.exe', 'pid': 2056, 'username': None, 'vms': 2.25390625}
{'name': 'TextInputHost.exe', 'pid': 2144, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 74.859375}
{'name': 'svchost.exe', 'pid': 2152, 'username': None, 'vms': 3.6328125}
{'name': 'svchost.exe', 'pid': 2176, 'username': None, 'vms': 10.51171875}
{'name': 'svchost.exe', 'pid': 2188, 'username': None, 'vms': 1.71484375}
{'name': 'svchost.exe', 'pid': 2284, 'username': None, 'vms': 3.11328125}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 2300, 'username': None, 'vms': 1.1875}
{'name': 'svchost.exe', 'pid': 2308, 'username': None, 'vms': 2.59765625}
{'name': 'svchost.exe', 'pid': 2320, 'username': None, 'vms': 2.65234375}
{'name': 'NPAVIDS.EXE', 'pid': 2348, 'username': None, 'vms': 6.38671875}
{'name': 'svchost.exe', 'pid': 2388, 'username': None, 'vms': 1.3359375}
{'name': 'svchost.exe', 'pid': 2432, 'username': None, 'vms': 1.95703125}
{'name': 'update.exe', 'pid': 2456, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 15.1953125}
{'name': 'msedgewebview2.exe', 'pid': 2460, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.43359375}
{'name': 'svchost.exe', 'pid': 2652, 'username': None, 'vms': 3.12109375}
{'name': 'svchost.exe', 'pid': 2708, 'username': None, 'vms': 1.91015625}
{'name': 'svchost.exe', 'pid': 2740, 'username': None, 'vms': 1.92578125}
{'name': 'svchost.exe', 'pid': 2808, 'username': None, 'vms': 8.18359375}
{'name': 'svchost.exe', 'pid': 2840, 'username': None, 'vms': 1.63671875}
{'name': 'csrss.exe', 'pid': 2892, 'username': None, 'vms': 3.03125}
{'name': 'igfxCUIServiceN.exe', 'pid': 2960, 'username': None, 'vms': 2.41015625}
{'name': 'chrome.exe', 'pid': 3004, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 38.984375}
{'name': 'dllhost.exe', 'pid': 3128, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 10.484375}
{'name': 'svchost.exe', 'pid': 3144, 'username': None, 'vms': 2.03515625}
{'name': 'svchost.exe', 'pid': 3184, 'username': None, 'vms': 15.3359375}
