--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:59:27 2023
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'pid': 176, 'name': 'Registry', 'username': None, 'vms': 13.23046875}
{'pid': 516, 'name': 'svchost.exe', 'username': None, 'vms': 3.3359375}
{'pid': 708, 'name': 'smss.exe', 'username': None, 'vms': 1.09765625}
{'pid': 820, 'name': 'csrss.exe', 'username': None, 'vms': 2.65234375}
{'pid': 860, 'name': 'svchost.exe', 'username': None, 'vms': 6.47265625}
{'pid': 1104, 'name': 'wininit.exe', 'username': None, 'vms': 1.625}
{'pid': 1172, 'name': 'services.exe', 'username': None, 'vms': 6.92578125}
{'pid': 1184, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 51.515625}
{'pid': 1196, 'name': 'lsass.exe', 'username': None, 'vms': 9.0234375}
{'pid': 1212, 'name': 'svchost.exe', 'username': None, 'vms': 5.9921875}
{'pid': 1324, 'name': 'svchost.exe', 'username': None, 'vms': 12.54296875}
{'pid': 1340, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.9140625}
{'pid': 1412, 'name': 'svchost.exe', 'username': None, 'vms': 8.33203125}
{'pid': 1436, 'name': 'WUDFHost.exe', 'username': None, 'vms': 5.2265625}
{'pid': 1500, 'name': 'svchost.exe', 'username': None, 'vms': 3.015625}
{'pid': 1536, 'name': 'WUDFHost.exe', 'username': None, 'vms': 11.0859375}
{'pid': 1744, 'name': 'dptf_helper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.42578125}
{'pid': 1784, 'name': 'LockApp.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 40.75}
{'pid': 1836, 'name': 'svchost.exe', 'username': None, 'vms': 6.421875}
{'pid': 1852, 'name': 'svchost.exe', 'username': None, 'vms': 2.3125}
{'pid': 1868, 'name': 'svchost.exe', 'username': None, 'vms': 2.8125}
{'pid': 1888, 'name': 'svchost.exe', 'username': None, 'vms': 3.22265625}
{'pid': 1908, 'name': 'winlogon.exe', 'username': None, 'vms': 2.52734375}
{'pid': 1972, 'name': 'svchost.exe', 'username': None, 'vms': 2.77734375}
{'pid': 1996, 'name': 'svchost.exe', 'username': None, 'vms': 1.95703125}
{'pid': 2000, 'name': 'svchost.exe', 'username': None, 'vms': 2.77734375}
{'pid': 2036, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.51171875}
{'pid': 2056, 'name': 'svchost.exe', 'username': None, 'vms': 2.31640625}
{'pid': 2144, 'name': 'TextInputHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 74.484375}
{'pid': 2152, 'name': 'svchost.exe', 'username': None, 'vms': 3.50390625}
{'pid': 2188, 'name': 'svchost.exe', 'username': None, 'vms': 1.74609375}
{'pid': 2284, 'name': 'svchost.exe', 'username': None, 'vms': 2.94921875}
{'pid': 2300, 'name': 'IntelCpHDCPSvc.exe', 'username': None, 'vms': 1.1875}
{'pid': 2308, 'name': 'svchost.exe', 'username': None, 'vms': 2.42578125}
{'pid': 2320, 'name': 'svchost.exe', 'username': None, 'vms': 2.60546875}
{'pid': 2348, 'name': 'NPAVIDS.EXE', 'username': None, 'vms': 6.23046875}
{'pid': 2388, 'name': 'svchost.exe', 'username': None, 'vms': 1.3359375}
{'pid': 2432, 'name': 'svchost.exe', 'username': None, 'vms': 1.92578125}
{'pid': 2456, 'name': 'update.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 15.3828125}
{'pid': 2460, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.43359375}
{'pid': 2652, 'name': 'svchost.exe', 'username': None, 'vms': 3.16015625}
{'pid': 2708, 'name': 'svchost.exe', 'username': None, 'vms': 1.75}
{'pid': 2740, 'name': 'svchost.exe', 'username': None, 'vms': 1.8515625}
{'pid': 2808, 'name': 'svchost.exe', 'username': None, 'vms': 8.05078125}
{'pid': 2840, 'name': 'svchost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 2892, 'name': 'csrss.exe', 'username': None, 'vms': 2.9921875}
{'pid': 2960, 'name': 'igfxCUIServiceN.exe', 'username': None, 'vms': 2.3671875}
{'pid': 3128, 'name': 'dllhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 10.55078125}
{'pid': 3144, 'name': 'svchost.exe', 'username': None, 'vms': 1.8984375}
{'pid': 3184, 'name': 'svchost.exe', 'username': None, 'vms': 15.328125}
{'pid': 3216, 'name': 'EpicWebHelper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 35.47265625}
{'pid': 3360, 'name': 'svchost.exe', 'username': None, 'vms': 11.50390625}
{'pid': 3368, 'name': 'svchost.exe', 'username': None, 'vms': 1.3203125}
{'pid': 3436, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.26171875}
{'pid': 3500, 'name': 'smartscreen.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.80078125}
{'pid': 3528, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 7.9375}
{'pid': 3560, 'name': 'svchost.exe', 'username': None, 'vms': 19.93359375}
{'pid': 3588, 'name': 'svchost.exe', 'username': None, 'vms': 2.83984375}
{'pid': 3596, 'name': 'svchost.exe', 'username': None, 'vms': 1.171875}
{'pid': 3652, 'name': 'svchost.exe', 'username': None, 'vms': 2.53515625}
{'pid': 3660, 'name': 'svchost.exe', 'username': None, 'vms': 1.80859375}
{'pid': 3668, 'name': 'MemCompression', 'username': None, 'vms': 1.01953125}
{'pid': 3960, 'name': 'svchost.exe', 'username': None, 'vms': 4.12890625}
{'pid': 3968, 'name': 'conhost.exe', 'username': None, 'vms': 5.09375}
{'pid': 4000, 'name': 'svchost.exe', 'username': None, 'vms': 1.44140625}
{'pid': 4176, 'name': 'svchost.exe', 'username': None, 'vms': 18.6640625}
{'pid': 4192, 'name': 'python3.10.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 17.859375}
{'pid': 4244, 'name': 'mcafee-security.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 56.23828125}
{'pid': 4248, 'name': 'svchost.exe', 'username': None, 'vms': 13.69140625}
{'pid': 4300, 'name': 'svchost.exe', 'username': None, 'vms': 2.46484375}
{'pid': 4308, 'name': 'svchost.exe', 'username': None, 'vms': 3.54296875}
{'pid': 4408, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 45.12109375}
{'pid': 4468, 'name': 'svchost.exe', 'username': None, 'vms': 6.4765625}
{'pid': 4500, 'name': 'svchost.exe', 'username': None, 'vms': 3.625}
{'pid': 4656, 'name': 'svchost.exe', 'username': None, 'vms': 4.21875}
{'pid': 4712, 'name': 'wlanext.exe', 'username': None, 'vms': 1.40625}
{'pid': 4720, 'name': 'conhost.exe', 'username': None, 'vms': 5.11328125}
{'pid': 4724, 'name': 'svchost.exe', 'username': None, 'vms': 1.859375}
{'pid': 4784, 'name': 'svchost.exe', 'username': None, 'vms': 2.328125}
{'pid': 4816, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 12.72265625}
{'pid': 5076, 'name': 'spoolsv.exe', 'username': None, 'vms': 5.37890625}
{'pid': 5172, 'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.24609375}
{'pid': 5188, 'name': 'EMON.EXE', 'username': None, 'vms': 10.6640625}
{'pid': 5232, 'name': 'armsvc.exe', 'username': None, 'vms': 1.3359375}
{'pid': 5244, 'name': 'svchost.exe', 'username': None, 'vms': 3.87109375}
{'pid': 5252, 'name': 'AnyDesk.exe', 'username': None, 'vms': 20.65625}
{'pid': 5272, 'name': 'svchost.exe', 'username': None, 'vms': 13.55078125}
{'pid': 5280, 'name': 'svchost.exe', 'username': None, 'vms': 18.23046875}
{'pid': 5296, 'name': 'OfficeClickToRun.exe', 'username': None, 'vms': 31.08984375}
{'pid': 5308, 'name': 'GoogleInputService.exe', 'username': None, 'vms': 1.6875}
{'pid': 5336, 'name': 'svchost.exe', 'username': None, 'vms': 2.70703125}
{'pid': 5348, 'name': 'jhi_service.exe', 'username': None, 'vms': 1.265625}
{'pid': 5360, 'name': 'esif_uf.exe', 'username': None, 'vms': 1.93359375}
{'pid': 5384, 'name': 'svchost.exe', 'username': None, 'vms': 4.51171875}
{'pid': 5396, 'name': 'NahimicService.exe', 'username': None, 'vms': 3.265625}
{'pid': 5412, 'name': 'nvcontainer.exe', 'username': None, 'vms': 12.390625}
{'pid': 5420, 'name': 'WEBPROT2.EXE', 'username': None, 'vms': 6.375}
{'pid': 5444, 'name': 'RtkAudUService64.exe', 'username': None, 'vms': 5.171875}
{'pid': 5460, 'name': 'NPProt.exe', 'username': None, 'vms': 1.11328125}
{'pid': 5468, 'name': 'NPHOST.EXE', 'username': None, 'vms': 6.04296875}
{'pid': 5476, 'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'vms': 37.796875}
{'pid': 5512, 'name': 'mysqld.exe', 'username': None, 'vms': 32.7734375}
{'pid': 5520, 'name': 'svchost.exe', 'username': None, 'vms': 1.22265625}
{'pid': 5528, 'name': 'AWCC.Service.exe', 'username': None, 'vms': 52.9453125}
{'pid': 5540, 'name': 'svchost.exe', 'username': None, 'vms': 4.33984375}
{'pid': 5568, 'name': 'svchost.exe', 'username': None, 'vms': 4.23046875}
{'pid': 5620, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'vms': 33.85546875}
{'pid': 5688, 'name': 'MsMpEng.exe', 'username': None, 'vms': 365.640625}
{'pid': 5736, 'name': 'svchost.exe', 'username': None, 'vms': 4.4453125}
{'pid': 5744, 'name': 'WMIRegistrationService.exe', 'username': None, 'vms': 2.734375}
{'pid': 5812, 'name': 'ctfmon.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 7.08203125}
{'pid': 5876, 'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 11.796875}
{'pid': 5900, 'name': 'svchost.exe', 'username': None, 'vms': 3.48046875}
{'pid': 6152, 'name': 'NVIDIA Web Helper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 38.0390625}
{'pid': 6320, 'name': 'mysqld.exe', 'username': None, 'vms': 577.16015625}
{'pid': 6396, 'name': 'conhost.exe', 'username': None, 'vms': 5.51953125}
{'pid': 6444, 'name': 'audiodg.exe', 'username': None, 'vms': 19.25}
{'pid': 6544, 'name': 'svchost.exe', 'username': None, 'vms': 2.87109375}
{'pid': 6676, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 81.625}
{'pid': 6744, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.125}
{'pid': 6760, 'name': 'awscns.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 41.95703125}
{'pid': 6804, 'name': 'AggregatorHost.exe', 'username': None, 'vms': 2.2578125}
{'pid': 6848, 'name': 'svchost.exe', 'username': None, 'vms': 2.2265625}
{'pid': 6948, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 21.87890625}
{'pid': 6968, 'name': 'svchost.exe', 'username': None, 'vms': 2.078125}
{'pid': 7220, 'name': 'svchost.exe', 'username': None, 'vms': 1.66796875}
{'pid': 7252, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 36.578125}
{'pid': 7692, 'name': 'ZVCMD64.EXE', 'username': None, 'vms': 0.62890625}
{'pid': 7956, 'name': 'uTorrent.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.75}
{'pid': 8012, 'name': 'svchost.exe', 'username': None, 'vms': 10.84375}
{'pid': 8076, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 8.1953125}
{'pid': 8120, 'name': 'nvcontainer.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 47.42578125}
{'pid': 8160, 'name': 'DellSupportAssistRemedationService.exe', 'username': None, 'vms': 77.57421875}
{'pid': 8300, 'name': 'NisSrv.exe', 'username': None, 'vms': 3.80859375}
{'pid': 8508, 'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 8.35546875}
{'pid': 8724, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 105.21875}
{'pid': 8828, 'name': 'svchost.exe', 'username': None, 'vms': 1.6171875}
{'pid': 8844, 'name': 'LocationNotificationWindows.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.85546875}
{'pid': 8864, 'name': 'svchost.exe', 'username': None, 'vms': 3.83203125}
{'pid': 9236, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 13.88671875}
{'pid': 9268, 'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.08203125}
{'pid': 9432, 'name': 'PresentationFontCache.exe', 'username': None, 'vms': 31.50390625}
{'pid': 9468, 'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 45.29296875}
{'pid': 9492, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 2.5390625}
{'pid': 9536, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 9.40234375}
{'pid': 9568, 'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.078125}
